pclass,sex,age,sibsp,parch,fare,embarked,survived
2,female,25.6,0,0,1.68,C,1
1,male,38.6,1,0,54.32,S,1
3,female,46.9,0,0,21.52,S,1
2,male,28.0,0,1,22.46,S,0
3,male,23.7,0,2,24.74,S,0
1,female,30.0,2,1,5.62,S,1
3,female,38.4,0,1,6.61,S,1
3,female,9.8,2,1,11.52,S,0
1,male,0.4,0,0,27.0,S,0
2,male,22.3,0,1,7.08,S,0
1,female,12.9,0,0,3.71,S,1
1,male,22.9,0,0,105.31,S,1
3,male,27.9,0,1,0.67,S,0
2,male,23.7,0,0,48.69,S,1
3,male,50.3,0,0,46.54,S,0
2,female,34.6,1,0,10.58,S,1
3,male,34.2,0,0,4.37,C,0
3,male,38.7,0,0,4.72,S,0
3,male,14.1,0,0,35.86,C,0
3,male,44.5,1,0,30.88,S,0
2,male,28.9,0,0,45.8,S,1
2,male,39.4,1,1,83.17,S,0
3,male,15.0,1,0,35.32,S,0
3,female,8.2,0,0,5.08,S,0
3,male,41.5,0,0,8.37,S,0
1,male,35.3,0,1,55.39,S,1
3,female,17.4,2,0,7.05,S,1
3,female,17.8,0,0,2.26,S,0
1,male,45.8,2,1,36.45,Q,0
1,male,13.3,0,0,15.45,S,1
3,male,53.0,0,0,75.79,S,0
3,female,17.4,1,1,31.52,S,0
3,female,38.9,0,0,2.84,S,0
1,female,25.4,1,1,88.61,C,1
3,male,38.4,0,0,8.97,S,0
1,female,22.4,0,2,12.34,S,1
1,male,27.7,0,0,15.44,C,1
1,male,30.6,0,0,1.58,S,1
3,male,16.0,0,2,20.59,S,0
3,female,40.4,0,1,3.95,Q,0
3,male,22.8,0,0,15.37,S,0
2,female,26.8,2,0,12.96,S,1
3,male,16.1,0,0,44.46,S,0
2,male,0.4,0,1,48.76,S,1
3,male,27.3,0,1,5.0,S,0
2,male,63.8,0,0,13.7,C,0
2,female,41.0,1,1,14.02,S,1
3,male,29.7,0,0,4.93,C,0
2,female,26.3,0,0,48.05,Q,0
3,female,30.3,1,1,36.85,S,1
3,female,37.7,1,0,6.34,S,1
1,male,13.5,2,0,13.71,S,1
3,male,45.6,0,0,3.35,C,0
2,male,40.0,0,1,29.68,C,0
3,female,40.1,0,0,3.88,S,1
3,female,36.1,1,0,127.92,S,1
3,male,30.3,1,0,45.52,S,0
1,female,39.4,0,1,14.84,C,1
3,male,38.3,0,1,25.92,S,0
3,male,25.0,1,0,72.69,S,0
2,male,22.0,1,1,24.23,C,0
1,female,31.4,0,2,5.75,S,1
3,male,51.7,1,0,14.28,S,0
3,female,12.7,3,1,55.57,S,1
3,female,9.5,0,0,31.0,S,1
3,female,32.3,1,0,31.56,S,1
3,male,30.7,0,0,60.48,Q,0
1,male,32.4,1,1,67.32,S,1
2,male,33.4,0,0,75.69,S,0
2,male,26.9,0,0,2.99,S,1
3,male,50.9,0,0,23.57,S,0
1,female,7.6,1,0,40.47,S,1
3,male,18.4,2,1,42.43,C,0
3,male,28.6,0,2,28.0,C,0
3,male,7.0,1,0,5.47,S,1
2,male,27.5,1,0,47.9,S,0
3,male,53.3,2,0,38.2,S,0
1,male,30.3,0,2,2.7,Q,1
3,female,33.2,1,0,18.7,S,1
1,male,12.4,1,2,5.73,C,1
2,female,21.4,0,0,12.35,S,1
3,female,24.7,2,0,0.55,Q,1
1,male,25.6,0,1,15.34,S,0
1,female,47.9,1,0,23.95,C,1
3,male,37.8,0,0,28.99,S,0
3,female,14.4,1,0,32.67,S,0
3,male,33.5,0,0,54.29,S,0
3,female,37.0,0,1,7.28,C,1
3,female,46.0,1,0,3.85,S,1
2,female,52.1,1,0,57.22,Q,1
2,female,15.8,1,0,5.11,C,1
1,male,18.6,0,0,110.38,S,1
3,male,12.4,0,0,55.46,C,0
3,male,26.7,0,0,20.85,S,0
2,male,36.5,0,0,119.57,S,1
3,female,43.8,1,0,3.07,S,1
3,male,28.9,1,0,10.83,S,0
1,female,25.5,0,2,30.5,C,1
3,male,32.1,1,0,12.92,S,0
3,female,18.3,0,1,79.09,S,1
3,male,59.3,0,2,2.04,S,0
1,female,7.5,0,0,23.92,S,1
3,female,32.6,0,1,26.81,S,0
3,male,58.3,0,0,31.73,C,0
3,male,30.1,1,0,8.86,S,0
3,female,27.3,0,0,13.6,S,0
3,male,25.0,0,1,55.68,S,0
3,male,27.5,0,1,6.51,S,0
1,male,49.2,2,0,52.61,C,0
3,male,0.4,1,0,24.81,S,1
3,male,51.5,0,0,43.09,C,0
2,male,10.1,0,0,37.51,S,0
3,male,26.3,0,2,6.98,S,0
3,male,24.0,0,0,25.24,Q,0
3,female,38.2,0,0,60.69,C,0
3,male,7.6,0,0,16.98,S,0
1,female,36.5,1,1,101.97,S,1
3,male,58.3,0,1,18.06,S,0
3,male,10.9,1,0,4.62,S,0
1,male,32.7,0,1,14.8,C,1
3,male,20.7,2,0,90.91,C,0
3,male,36.0,1,0,11.56,S,0
3,male,30.3,1,0,60.77,Q,1
3,male,21.0,0,1,63.92,S,0
2,male,36.8,0,1,12.93,S,1
1,female,55.3,0,0,2.61,S,1
2,male,27.3,1,1,38.68,S,1
3,male,40.1,0,0,11.2,S,0
1,female,11.9,0,0,45.83,S,1
2,male,16.6,1,0,17.54,S,0
2,male,36.6,1,0,19.92,S,0
3,female,50.8,0,0,45.14,C,0
3,male,35.0,0,0,14.46,S,0
2,female,25.6,0,0,17.56,S,1
2,female,30.0,2,1,14.16,C,0
3,male,12.5,0,1,13.73,Q,0
3,male,38.5,0,0,22.39,Q,0
1,male,42.4,1,1,49.63,S,1
3,male,23.7,0,1,13.47,S,0
1,male,23.4,0,0,22.29,S,1
1,female,33.7,1,0,33.33,S,1
3,male,23.9,0,0,9.42,Q,0
2,male,29.1,0,1,9.75,S,1
3,female,59.4,0,2,81.28,S,1
2,female,26.5,2,0,38.57,S,0
3,male,25.0,0,2,25.82,S,0
3,male,20.9,0,0,31.3,C,0
1,male,40.4,0,0,0.89,S,0
3,male,27.5,0,1,28.88,S,0
1,male,20.9,1,1,21.37,S,1
3,male,48.5,0,0,23.67,S,0
1,female,49.9,0,0,13.36,S,1
2,male,21.6,0,0,2.55,S,0
1,male,3.9,0,0,6.45,S,0
3,male,44.1,0,0,90.32,S,1
3,male,20.4,1,0,15.76,Q,0
3,female,41.1,0,0,18.86,Q,0
1,female,2.4,2,0,1.62,Q,1
3,female,42.5,1,1,1.15,S,1
1,male,13.0,0,0,37.89,S,1
3,male,40.2,0,0,23.17,S,0
1,male,30.2,1,1,21.32,C,0
1,male,16.6,0,1,8.36,Q,1
1,male,24.3,0,0,40.97,C,1
3,female,39.6,1,0,5.53,S,0
3,male,31.5,0,1,6.32,Q,0
1,male,38.2,1,0,18.53,S,1
3,male,57.7,2,1,10.12,S,0
3,male,8.1,1,1,8.53,S,0
3,male,52.6,0,1,31.09,S,0
2,female,31.5,0,0,31.58,S,1
2,female,17.4,0,0,52.21,S,1
3,female,11.4,0,1,16.22,S,0
1,male,27.4,1,0,2.28,S,1
1,male,42.9,0,0,9.59,C,1
3,male,28.2,0,0,117.37,S,0
3,male,51.2,1,0,27.21,S,0
2,female,9.7,0,0,37.11,C,0
2,male,29.8,0,0,0.22,C,0
3,male,12.5,0,0,21.91,S,0
2,male,35.1,0,0,1.15,S,1
1,male,42.4,0,0,25.27,S,1
1,female,24.1,0,1,76.06,S,1
3,male,0.4,0,0,103.66,S,1
3,male,32.8,0,0,23.33,C,0
1,male,36.1,0,3,18.39,S,1
1,male,35.7,1,0,87.02,C,1
1,female,47.3,0,0,33.59,C,1
3,female,15.0,0,0,2.01,Q,1
1,female,39.5,1,0,18.81,S,1
1,female,46.7,0,1,8.24,C,0
3,male,5.1,1,1,19.04,S,1
1,female,34.5,1,1,18.23,S,1
3,male,22.9,1,0,26.18,S,0
1,male,28.9,1,1,13.24,S,0
1,female,34.9,0,0,5.38,C,0
2,male,23.2,1,0,21.02,S,0
3,female,20.5,0,1,53.19,S,1
